Index;Title;Result;Request;Response Status;Response Time;Type;
1;listTasks - no authentication;OK;;;;OK;
1.0;listTasks;OK;Request GET http://debauve.qatest.dataiku.com:80/;200;0:00:00.029569;;
2;Authenticate - valid credentials;OK;;;;OK;
2.0;setCredentials;OK;setCredentials;0;[];;
2.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.018480;;
3;Authenticate - invalid credentials;OK;;;;NOK;
3.0;setCredentials;OK;setCredentials;0;[];;
3.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;401;0:00:00.014924;;
4;Create new user with existing password;NOK;;;;OK;
4.0;createUser;NOK;Request POST http://debauve.qatest.dataiku.com:80/users;500;0:00:00.012138;;
5;Create new user with new password;OK;;;;OK;
5.0;createUser;OK;Request POST http://debauve.qatest.dataiku.com:80/users;200;0:00:00.017273;;
5.1;setCredentials;OK;setCredentials;0;[];;
5.2;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.015915;;
6;Create new user with existing username;NOK;;;;NOK;
6.0;createUser;NOK;Request POST http://debauve.qatest.dataiku.com:80/users;500;0:00:00.017981;;
7;Create new task without tags while not authentified;OK;;;;NOK;
7.0;createTask;OK;Request PUT http://debauve.qatest.dataiku.com:80/;401;0:00:00.012310;;
8;Create new task without tags while authentified;NOK;;;;OK;
8.0;setCredentials;OK;setCredentials;0;[];;
8.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.020914;;
8.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;200;0:00:00.018172;;
9;2nd Create new task without tags while authentified;NOK;;;;OK;
9.0;setCredentials;OK;setCredentials;0;[];;
9.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.018246;;
9.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;200;0:00:00.019373;;
10;Create new task with title > 20 while authentified;NOK;;;;NOK;
10.0;setCredentials;OK;setCredentials;0;[];;
10.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.021715;;
10.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;200;0:00:00.023269;;
11;Create new task with unexisting tags while authentified;NOK;;;;OK;
11.0;setCredentials;OK;setCredentials;0;[];;
11.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.019232;;
11.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;200;0:00:00.015086;;
12;2nd Create new task with unexisting tags while authentified;NOK;;;;OK;
12.0;setCredentials;OK;setCredentials;0;[];;
12.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.013677;;
12.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;200;0:00:00.022220;;
13;Create new task with tags > 20 char, while authentified;NOK;;;;NOK;
13.0;setCredentials;OK;setCredentials;0;[];;
13.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.012490;;
13.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;500;0:00:00.015216;;
14;Create new task with existing tag while authentified with another user;NOK;;;;OK;
14.0;setCredentials;OK;setCredentials;0;[];;
