Index;Title;Result;Request;Response Status;Response Time;Type;
1;listTasks - empty list - no authentication;OK;;;;OK;
1.0;listTasks;OK;Request GET http://debauve.qatest.dataiku.com:80/;200;0:00:00.016346;;
2;Authenticate - valid credentials;OK;;;;OK;
2.0;setCredentials;OK;setCredentials;0;[];;
2.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.015550;;
3;Authenticate - invalid credentials;OK;;;;NOK;
3.0;setCredentials;OK;setCredentials;0;[];;
3.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;401;0:00:00.017794;;
4;Create new user with existing password;NOK;;;;OK;
4.0;createUser;NOK;Request POST http://debauve.qatest.dataiku.com:80/users;500;0:00:00.016921;;
5;Create new user with new password;OK;;;;OK;
5.0;createUser;OK;Request POST http://debauve.qatest.dataiku.com:80/users;200;0:00:00.016900;;
5.1;setCredentials;OK;setCredentials;0;[];;
5.2;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.017508;;
6;Create new user with existing username;OK;;;;NOK;
6.0;createUser;NOK;Request POST http://debauve.qatest.dataiku.com:80/users;500;0:00:00.014842;;
7;Create new task without tags while not authentified;OK;;;;NOK;
7.0;createTask;OK;Request PUT http://debauve.qatest.dataiku.com:80/;401;0:00:00.012977;;
8;Create new task without tags while authentified;OK;;;;OK;
8.0;setCredentials;OK;setCredentials;0;[];;
8.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.013051;;
8.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;200;0:00:00.015259;;
8.3;listTasks;OK;Request GET http://debauve.qatest.dataiku.com:80/;200;0:00:00.014734;;
10;Create new task with unexisting tags while authentified;OK;;;;OK;
10.0;setCredentials;OK;setCredentials;0;[];;
10.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.013007;;
10.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;200;0:00:00.019221;;
10.3;listTasks;OK;Request GET http://debauve.qatest.dataiku.com:80/;200;0:00:00.021063;;
12;Create new task with existing tags while authentified with another user;OK;;;;OK;
12.0;setCredentials;OK;setCredentials;0;[];;
12.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.015264;;
12.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;200;0:00:00.017734;;
12.3;listTasks;OK;Request GET http://debauve.qatest.dataiku.com:80/;200;0:00:00.015566;;
14;Create new task with already existing title;OK;;;;NOK;
14.0;setCredentials;OK;setCredentials;0;[];;
14.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.017976;;
14.2;createTask;NOK;Request PUT http://debauve.qatest.dataiku.com:80/;500;0:00:00.013331;;
14.3;listTasks;OK;Request GET http://debauve.qatest.dataiku.com:80/;200;0:00:00.013854;;
15;Retrieve Task information for an existing task;OK;;;;OK;
15.0;getTaskInfo;OK;Request GET http://debauve.qatest.dataiku.com:80/6;200;0:00:00.519993;;
16;Update valid Task while unauthenticated;OK;;;;NOK;
16.0;updateTask;OK;Request PATCH http://debauve.qatest.dataiku.com:80/6;401;0:00:00.013573;;
17;Update valid Task while authenticated as the owner - change status, tags and title;OK;;;;OK;
17.0;setCredentials;OK;setCredentials;0;[];;
17.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.017809;;
17.2;updateTask;OK;Request PATCH http://debauve.qatest.dataiku.com:80/1;200;0:00:00.017514;;
17.3;getTaskInfo;OK;Request GET http://debauve.qatest.dataiku.com:80/1;200;0:00:00.522818;;
18;Update valid Task while authenticated as NOT the owner - change status, tags and title;NOK;;;;NOK;
18.0;setCredentials;OK;setCredentials;0;[];;
18.1;authenticate;OK;Request POST http://debauve.qatest.dataiku.com:80/authenticate;200;0:00:00.017230;;
18.2;updateTask;NOK;Request PATCH http://debauve.qatest.dataiku.com:80/1;200;0:00:00.018281;;
19;Retrieve all the tags;OK;;;;OK;
19.0;listTags;OK;Request GET http://debauve.qatest.dataiku.com:80/tags;200;0:00:00.017732;;
20;Retrieve tag details for an existing tag;OK;;;;OK;
20.0;getTagInfo;OK;Request GET http://debauve.qatest.dataiku.com:80/tags/2;200;0:00:00.013503;;
21;Delete task while authentified as NOT the owner;NOK;;;;NOK;
21.0;setCredentials;OK;setCredentials;0;[];;
21.1;deleteTask;NOK;Request DELETE http://debauve.qatest.dataiku.com:80/5;200;0:00:00.018685;;
22;Delete task while authentified as the owner;OK;;;;OK;
22.0;setCredentials;OK;setCredentials;0;[];;
22.1;deleteTask;OK;Request DELETE http://debauve.qatest.dataiku.com:80/1;200;0:00:00.015967;;
22.2;listTasks;OK;listTasks;0;[];;
23;Retrieve Task information for unexisting task;OK;;;;NOK;
23.0;getTaskInfo;OK;Request GET http://debauve.qatest.dataiku.com:80/199;404;0:00:00.514528;;
